8.321320770110076509e-03 4.520267554029563400e-09 2.025136658830637773e-19
8.546689116317269727e-03 5.174893167126894395e-09 4.498300825383582958e-19
8.339873050872109728e-03 5.034915369363453989e-09 3.969567703662990954e-19
8.390319742362001981e-03 5.403243296893557397e-09 3.016027976218783331e-19
8.276527255267715488e-03 4.810948381648813778e-09 2.727949719326592309e-19
8.361566275164215162e-03 4.927151901542612924e-09 2.404158218616738758e-19
8.304581109507153461e-03 4.924471673447600543e-09 2.268042873891599152e-19
8.331660692929915984e-03 5.425130852771945225e-09 3.402661060223320894e-19
8.440388893979078322e-03 4.638142761978386651e-09 3.734303062745908787e-19
8.391472092476792363e-03 5.051997495703744208e-09 5.079690356315728251e-19
